,Category R,Category G,Category B
Days of Being Wild,17.04820179881159,15.030700398604617,28.05865555541647
Chungking Express,32.02783038826267,12.392967689304617,27.90075523774127
Fallen Angels,30.905133127410444,18.654670308981434,12.765624048684742
Happy Together,36.69488912682696,21.147746674977274,22.165531392073685
In the Mood for Love,15.812927927297057,11.856825456075219,13.141276895196063
2046,19.193631200532455,13.234999615217777,19.441044909000645
