,Days of Being Wild,Chungking Express,Fallen Angels,Happy Together,In the Mood for Love,2046
Days of Being Wild,1.0,0.45046405272523854,-0.6465613292171885,-0.31522770824005025,-0.055361962067546865,0.6466379890385199
Chungking Express,0.45046405272523854,1.0,0.3898264212309972,0.7052776351141498,0.8664867583630278,0.9723082138473329
Fallen Angels,-0.6465613292171885,0.3898264212309972,1.0,0.927782349829979,0.7974869516953529,0.16381775952032368
Happy Together,-0.31522770824005025,0.7052776351141498,0.927782349829979,1.0,0.9650122316218132,0.5200684259319927
In the Mood for Love,-0.055361962067546865,0.8664867583630278,0.7974869516953529,0.9650122316218132,1.0,0.725828020335154
2046,0.6466379890385199,0.9723082138473329,0.16381775952032368,0.5200684259319927,0.725828020335154,1.0
